english,description,translation,conditions,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
Events,"Compact visible Pool Viewer card-type filter label. The type selector is a closed product filter enum: all keeps both card types, character keeps Character cards, and event keeps Event cards.",Events,"card_type.select[1]=""event""",obsolete,,,tx1_ktqk3puy5mbrsvvkxy77f7kdnu,row1_kqmlts6czm5lcqehxp4omy7yha,message,,src/cumulus/screens/PoolViewerScreen.tsx:170:28,rev1_26b2036ede185cdd306e46ae8bbca5a3f680f688edfe2df744994777561d060c
Characters,"Compact visible Pool Viewer card-type filter label. The type selector is a closed product filter enum: all keeps both card types, character keeps Character cards, and event keeps Event cards.",Characters,"card_type.select[0]=""character""",obsolete,,,tx1_ktqk3puy5mbrsvvkxy77f7kdnu,row1_o5x3irgadpnv2v3vptv44vvide,message,,src/cumulus/screens/PoolViewerScreen.tsx:170:28,rev1_3295faa3c5bae121f4b1d35d8c340a87f88efe448f6e0ff8e56217fd5f2b6c5d
All,"Compact visible Pool Viewer card-type filter label. The type selector is a closed product filter enum: all keeps both card types, character keeps Character cards, and event keeps Event cards.",All,card_type.select[3]=otherwise,obsolete,,,tx1_ktqk3puy5mbrsvvkxy77f7kdnu,row1_t4avmfvktrt7alrlofh3vb2dbu,message,,src/cumulus/screens/PoolViewerScreen.tsx:170:28,rev1_529823fdb48427e6e3284c1e30e6f597d04ff147bbc0d991e597c95410e5184b
All,"Compact visible Pool Viewer card-type filter label. The type selector is a closed product filter enum: all keeps both card types, character keeps Character cards, and event keeps Event cards.",All,"card_type.select[2]=""all""",obsolete,,,tx1_ktqk3puy5mbrsvvkxy77f7kdnu,row1_zw7xe5n3owmac3bylvvpibhlwq,message,,src/cumulus/screens/PoolViewerScreen.tsx:170:28,rev1_a49a11543ac1cf7162453c9c6949c00be1c2cfdbd55f5836798db8b788d0dc4c
All costs,Compact visible Pool Viewer Energy-cost filter option that selects cards with an exact printed cost of three. The displayed source label is All costs.,All costs,,obsolete,,,tx1_lgyoj3icwki6yexqouk6nl5unm,row1_mxpdhh64jqvrsllnxd6clpufoy,message,,src/cumulus/screens/PoolViewerScreen.tsx:379:22,rev1_d0f25cd2be6cd65bddbb7bd75584ca153b74a6c8e884b7c3a347614541b4c3c6
All costs,Compact visible Pool Viewer Energy-cost filter option that selects cards with an exact printed cost of four. The displayed source label is All costs.,All costs,,obsolete,,,tx1_n5rangbwts3nbjmyb5xdmc2ezq,row1_4zp2lvv54tby2sa5kfcoxvurhi,message,,src/cumulus/screens/PoolViewerScreen.tsx:383:22,rev1_59cd8c9c0e163a26dd8528d6c024ad468bb53cfe7987b0d0cb8b437f2a89a67f
All costs,Compact visible Pool Viewer Energy-cost filter option that selects cards with an exact printed cost of two. The displayed source label is All costs.,All costs,,obsolete,,,tx1_o3zbcrwgvg5naut6ifszxm5bb4,row1_zvlqa3vut64t5loazzctomefoy,message,,src/cumulus/screens/PoolViewerScreen.tsx:375:22,rev1_8a8bf53060ee522a2a99ce6f6000e2d8b15e74bb18cbb0f053b3c6826272bc6e
All costs,Compact visible Pool Viewer Energy-cost filter option that selects cards with an exact printed cost of zero. The displayed source label is All costs.,All costs,,obsolete,,,tx1_ojnu37p6xuilsfosiy7755iw64,row1_uakf6plztlxdfn4sb23wafj7ii,message,,src/cumulus/screens/PoolViewerScreen.tsx:367:22,rev1_f5bfbdf2c6ee6aad35dae9a34d780ef386ce878908affbbcdb7805ca5e65aafb
All costs,Compact visible Pool Viewer Energy-cost filter option that selects cards with an exact printed cost of one. The displayed source label is All costs.,All costs,,obsolete,,,tx1_oqtdz3y5qztkoodit7rdcgeadu,row1_kikj5jo7hv3wcb46rzb3slef34,message,,src/cumulus/screens/PoolViewerScreen.tsx:371:22,rev1_b7aad222bc74e7301a720f533d15fc505089542e1d15b5cb388fe5d1fbd44f79
All costs,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",All costs,"cost_filter.select[1]=""cost-1""",obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_33htyqw75dhjyyfpdib6x6en64,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_ff76c34d72515ec7bcc526f63930c66a0f6c2b63e0c34005783102fb14b9c7bd
All costs,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",All costs,cost_filter.select[7]=otherwise,obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_4eevv2eviepurtbqsdpj7o7rhu,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_82254c3f89fd5726bac9a87556ea947b78ccc6dd73bf5417581cb8e93189c8ab
All costs,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",All costs,"cost_filter.select[2]=""cost-2""",obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_7gukom7acroejy5dfiwn5hglf4,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_f75c3f47d0f5a86418bd1a2b1dbe6415f6a888040e45aee40f4240d64914c6f4
Cost X,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",Cost X,"cost_filter.select[6]=""cost-x""",obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_ezh42aypxy2tfw5wqspen6kxpy,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_2cfade49fc7c9033cfd3a92542891e9e135200b237af1dbb633bf77834b4fca4
All costs,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",All costs,"cost_filter.select[3]=""cost-3""",obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_hjet2rogkphtywyv5kwg4p43pu,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_952de0facb949f07ceda8be6365dae7c7eb0e831814f14dfcc2e0f2a85c11c1f
Cost 5+,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",Cost 5+,"cost_filter.select[5]=""cost-5plus""",obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_m65jltooyqjwljhd3taxwx3yxi,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_ded40c2f1b4e8a84caaba384c12075617a4ef5ae8d938e61fa16efa7a71a7a95
All costs,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",All costs,"cost_filter.select[4]=""cost-4""",obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_nkrxgwzw5rtnumars4jmfei4ga,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_5f4781d893ed8923df0c8b4adf77f72b0aba5c78ca8adbeba002cb11d99cdac9
All costs,"Compact visible Pool Viewer Energy-cost filter option. Cost is a product enum, not a quantity: 0 through 4 select exact printed costs, 5plus selects five or more, x selects variable cost, and all disables this filter. Source English for the exact-digit states is intentionally preserved as All costs by the immutable migration parity contract.",All costs,"cost_filter.select[0]=""cost-0""",obsolete,,,tx1_trv65f54gsjy3mdr522kcvomxq,row1_ye4uwcrbarvxlditj23ks2b4wq,message,,src/cumulus/screens/PoolViewerScreen.tsx:223:30,rev1_97140f0115937423d3b5ff33945f90a475a3f0b5e907e610f57462d04e7fd699
