MTG Name,Rules,Cost,Spark,Fast?,Interrupt?,Type,Tags
Flare of Denial,"Offering

▸Materialized: Prevent a played card.",5,3,TRUE,TRUE,Other,
,"Gain 2●. Draw a card.

If this event was reclaimed, copy it.

Reclaim 6●",2,,FALSE,FALSE,Event,
Sevinne's Reclamation,"Materialize up to two characters with cost 2● or less from your void.

Reclaim 5●.",4,,FALSE,FALSE,Event,
Flare of Duplication,"Offering

The next time you play an event this turn, copy it.",3,,FALSE,FALSE,Event,
Monument to Endurance,"Once per turn, when you discard a card, draw a card and gain 1●.",3,3,FALSE,FALSE,Other,
,"When you materialize a character, awaken each other allied character.",4,2,FALSE,FALSE,Other,
Intruder Alarm,"When you play a character, trigger the '▸Dawn' ability of each other allied character.",4,3,FALSE,FALSE,Other,
,"When you play an event, create a 1✦ warrior figment.",2,2,FALSE,FALSE,Other,
"Saheeli, Sublime Artificer","2●, ☪: Create a figment copy of an ally until end of turn.",3,3,FALSE,FALSE,Other,
Dualcaster Mage,"▸Materialized: The next time you play an event this turn, create a 0● ephemeral copy of that event in your hand.",3,3,FALSE,FALSE,Other,
Elves of Deep Shadow,▸Dawn: Gain 1●.,1,0,FALSE,FALSE,Spirit Animal,Elves
Aetherflux Reservoir,"When you play a card, gain 1⍟ for each other card you've played this turn.",3,2,FALSE,FALSE,Other,
Luminarch Aspirant,"▸Materialized, Dawn: Give an ally +1✦.",2,2,FALSE,FALSE,Other,
Circle of Dreams Druid,☪: Gain 1● for each allied character.,3,3,FALSE,FALSE,Spirit Animal,
Mana Leak,Prevent a played card unless the opponent abandons a character with cost 3● or more.,2,,TRUE,TRUE,Event,
Rite of Flame,Gain 2●.,1,,FALSE,FALSE,Event,
Coiling Oracle,"▸Materialized: If the top card of your deck is a character with cost 2● or less, materialize it. Otherwise, draw that card.",2,2,TRUE,FALSE,Other,
Rite of Harmony,"Until end of turn, when you materialize a character, draw a card.

Reclaim 4●.",2,,FALSE,FALSE,Event,
Exploration,"Veil 2● 

The first character with cost 2● or less you play each turn costs you 0●.",1,1,FALSE,FALSE,Other,
Samwise Gamgee,"When you materialize a non-figment character, store 1⧗.

3⧗: Return a warrior from your void to your hand.",2,2,FALSE,FALSE,Warrior,
Llanowar Elves,▸Dawn: Gain 1●. ,1,1,FALSE,FALSE,Spirit Animal,Elves
Bitterbloom Bearer,"Fast

▸Dawn: Materialize a 1✦ ethereal figment.",,,FALSE,FALSE,,
Arboreal Grazer,▸Materialized: You may materialize a character with cost 2● or less from your hand.,1,1,FALSE,FALSE,Other,
Burst Lightning,"You may pay an additional 3● to play this event.

Dissolve an enemy with 2✦ or less. If the additional cost was paid, dissolve an enemy with 5✦ or less instead.",1,,TRUE,FALSE,Event,Removal
Chart a Course,"Draw two cards, then discard a card unless you played another event this turn.",2,,FALSE,FALSE,Event,
Pitiless Plunderer,"When an ally is dissolved, gain 1●.",4,4,FALSE,FALSE,Other,
Witch's Oven,"☪, Abandon a character: Materialize a 1✦ spirit animal figment.",2,2,FALSE,FALSE,Other,
,Cards in your hand have offering.,2,1,FALSE,FALSE,Other,
Force of Will,"Offering

Prevent a played card.",5,,TRUE,TRUE,Event,
Phyrexian Altar,Abandon another character: Gain 1●.,3,1,FALSE,FALSE,Other,Free Sacrifice
,"Dissolve an enemy with 1✦ or less.

Reclaim 1●",1,,FALSE,FALSE,Event,Removal
Darkblast,"An event in your void gains reclaim until end of turn.

At the start of your turn, if this card is in your void, you may erode 3 to place this card on top of your deck.",1,,FALSE,FALSE,Event,
Ninja of the Deep Hours,"▸Materialized: Return another ally to hand. Move this character to that ally’s position.

When this character scores ⍟, draw a card.",2,2,FALSE,FALSE,Outsider,
Manamorphose,Gain 2●. Draw a card.,2,,FALSE,FALSE,Event,
Goblin Welder,"☪, Abandon a warrior: Materialize a warrior from your void.",2,2,FALSE,FALSE,Warrior,
Pest Infestation,Materialize X 1✦ ethereal figments.,X,,FALSE,FALSE,Event,
Gravecrawler,"With an allied survivor, you may play this card from your hand or void for 1●.",4,2,FALSE,FALSE,Survivor,
Sol Ring,"▸Materialized, Dawn: Gain 2●.",1,0,FALSE,FALSE,Spirit Animal,
,This character costs 1● less for each allied warrior.,5,5,FALSE,FALSE,Warrior,
,"▸Materialized: Erode 4

☪: You may play an event from your void.",2,2,FALSE,FALSE,Other,
"Emry, Lurker of the Loch","▸Materialized, Dawn: Erode 1.

Once per turn, you may play a warrior from your void.",2,1,FALSE,FALSE,Other,
Green Sun's Zenith,Discover a character with cost X and materialize it.,"1
X",,FALSE,FALSE,Event,Discover
"Juri, Master of the Revue","When you abandon a character, this character gains +1✦.

▸Dissolved: Gain ⍟ equal to this character's ✦.",2,1,FALSE,FALSE,Other,
,▸Materialized: The opponent cannot play events this turn.,3,2,FALSE,FALSE,Other,
Ranger-Captain of Eos,▸Materialized: Discover a character with cost 1● or less and materialize it.,2,2,FALSE,FALSE,Other,
"Hogaak, Arisen Necropolis","To play this character, banish 7 cards from your void.

You may play this character from your void.

Unstoppable",1,7,FALSE,FALSE,Other,
,▸Challenge: Erode 3. You may put a character with cost 2● or less from among those cards into your hand.,3,3,FALSE,FALSE,Other,
Six,"☪: A card in your void gains ""Reclaim – X●, Discard a card"" where X is its ● cost.",3,3,FALSE,FALSE,Other,
Bomat Courier,"▸Dawn: Store 1⧗.

Discard your hand: Draw one card per stored ⧗.",2,3,FALSE,FALSE,Other,
Blade Splicer,▸Materialized: Materialize a 4✦ monstrosity figment.,4,1,FALSE,FALSE,Other,
"Torens, Fist of the Angels","When you play a character, materialize a 1✦ ethereal figment.",3,3,FALSE,FALSE,Other,
Birchlore Rangers,"When you materialize a spirit animal, if it is not the first spirit animal you have materialized this turn, gain 1●.",1,1,FALSE,FALSE,Spirit Animal,
Agatha's Soul Cauldron,☪: Banish a character from a player's void. This character gains the abilities of that character.,3,3,FALSE,FALSE,Other,
Watcher for Tomorrow,"▸Materialized: Look at the top 4 cards of your deck and banish one.

▸Dissolved: Put the banished card into your hand.",3,3,FALSE,FALSE,Other,
Fecundity,"When an ally is dissolved, draw a card.",3,1,FALSE,FALSE,Other,
Moon-Circuit Hacker,"▸Materialized: Return another ally to hand. Move this character to that ally’s position.

When this character scores ⍟, draw a card, then discard a card.",1,1,TRUE,FALSE,Outsider,
Brought Back,Materialize up to three chosen characters in your void which dissolved this turn.,1,,TRUE,FALSE,Event,
"Jadar, Ghoulcaller of Nephalia","▸Night: If you have no allied shadow figments, materialize a 2● shadow figment.",2,1,FALSE,FALSE,Other,
Veteran Explorer,▸Dissolved: Gain 1 maximum ●.,1,1,FALSE,FALSE,Other,
Echo of Eons,"Shuffle your hand and void into your deck, then draw 5 cards.

Reclaim – 2●, Abandon a character.",5,,FALSE,FALSE,Event,
Whitemane Lion,▸Materialized: Return an ally to hand.,2,2,TRUE,FALSE,Other,
Thopter Foundry,"1●, Abandon a non-figment warrior: Materialize a 1✦ warrior figment.",2,2,FALSE,FALSE,Warrior,
Fatestitcher,"Awakened

☪: Awaken an ally.

Reclaim 1●",3,2,FALSE,FALSE,Other,
Nullifying Mage,▸Materialized: Choose a card in the opponent's hand. That card cannot be played while this character is in play.,2,2,FALSE,FALSE,Other,
Scheming Fence,▸Materialized: An enemy loses all activated abilities. This character gains those abilities.,3,2,FALSE,FALSE,Other,
Esper Sentinel,"Once per turn, when the opponent plays an event, draw a card.",1,1,FALSE,FALSE,Warrior,
Grim Lavamancer,"☪, Banish 3 cards from your void: Draw a card.",1,1,FALSE,FALSE,Other,
Daze,"Offering

Prevent a played card unless the opponent pays 1●.",2,,TRUE,TRUE,Event,
,"This character has +1✦ for each character with cost 2● or less in your void.

☪, Discard a card: Draw a character with cost 2● or less.",3,2,FALSE,FALSE,Other,
Knight of the Reliquary,"☪, Abandon a character with cost 2● or less: Materialize a random character with cost 2● or less from your deck. This character gains +1✦.",3,3,FALSE,FALSE,Other,
Baleful Strix,"Vengeful

▸Materialized: Draw a card.",2,1,FALSE,FALSE,Other,
High Tide,Double your current ●.,1,,FALSE,FALSE,Event,
Ingenious Smith,"▸Materialized: Draw a warrior.

When you materialize a non-figment warrior, this character gains +1 spark.",,,FALSE,FALSE,,
Quirion Ranger,☪: Awaken an ally.,1,1,FALSE,FALSE,Spirit Animal,
Lava Dart,"Dissolve an enemy with 1✦ or less.

Reclaim – Discard a card",1,,FALSE,FALSE,Event,Removal
,"1●: Return a character with cost 2● or less from your void to your hand.

1●, ☪, Abandon a character: Draw a card.",2,2,FALSE,FALSE,Other,
Living Twister,"2●, Discard a character: Dissolve an enemy with 2✦ or less.

1●: Return an ally to hand.",3,3,FALSE,FALSE,Other,Removal
,"If you've discarded a card this turn, this character costs 3● less.",4,5,FALSE,FALSE,Other,
Asmoranomardicadaistinaculdacar,"☪, Discard a card: Materialize a 1✦ warrior figment.

☪, Abandon 2 warriors: Dissolve an enemy with 4✦ or less.",2,2,FALSE,FALSE,Warrior,Removal
Bone Shards,"To play this event, abandon a character or discard a card.

Dissolve an enemy.",1,,FALSE,FALSE,Event,Removal
Pyrite Spellbomb,"1●, Abandon this character: Choose one:
- Gain 2⍟
- Draw a card",1,1,FALSE,FALSE,Warrior,
Ornithopter of Paradise,"Awakened

▸Dawn: Gain 1●.",2,2,FALSE,FALSE,Other,Elves
Deep Analysis,"Draw two cards.

Reclaim 2●",4,,FALSE,FALSE,Event,
Brain Freeze,"For each card you've played this turn, chosen player erodes X.",X,,FALSE,FALSE,Event,
Galvanic Blast,"Play this card only with 3 allied warriors.

Dissolve an enemy.",1,,TRUE,TRUE,Event,Removal
Thieving Skydiver,▸Materialized: Gain control of an enemy with cost X● or less.,"3
X",1,FALSE,FALSE,Other,
Ice-Fang Coatl,"Vengeful

▸Materialized: Draw a card.",2,1,TRUE,FALSE,,
Swords to Plowshares,Banish an enemy.,1,,TRUE,TRUE,Event,
Baloth Prime,"When you abandon a character with cost 2● or less, materialize a 4✦ Monstrosity figment.

4●: Abandon a character with cost 2● or less.",6,6,FALSE,FALSE,Other,
Serum Visions,"Draw a card.

Foresee 2.",1,,FALSE,FALSE,Event,Cantrips
Metallic Mimic,"▸Materialized: Choose a character type. This character is that character type.

Characters of the chosen type have +1✦.",2,2,FALSE,FALSE,Other,
Patchwork Automaton,"When you play a warrior, this character gains +1✦.",2,2,FALSE,FALSE,Warrior,
The Underworld Cookbook,"☪, Discard a card: Erode 2.

4●, Abandon this character: Return a character from your void to your hand.",1,1,FALSE,FALSE,Other,
Sylvan Safekeeper,❖❖ – Abandon another character: An allied character cannot be targeted by effects this turn.,1,1,FALSE,FALSE,Other,
Preordain,"Foresee 2.

Draw a card.",1,,FALSE,FALSE,Event,Cantrips
Lion's Eye Diamond,Discard your hand. Gain 3●.,0,,FALSE,FALSE,Event,
Nettlecyst,Give an ally +1✦ for each allied warrior.,1,,TRUE,FALSE,Event,
Aluren,Characters with cost 2● or less cost you 0●.,4,0,FALSE,FALSE,Other,
"Korvold, Fae-Cursed King","▸Dawn: Abandon a character.

When you abandon a character, draw a card and this character gains +1✦.",4,4,FALSE,FALSE,Other,
Mox Diamond,"To play this character, discard a character.

▸Materialized, Dawn: Gain 1●.",0,0,FALSE,FALSE,Spirit Animal,
Refurbished Familiar,"▸Materialized: The opponent discards a card. If they can't, draw a card.",2,2,FALSE,FALSE,Other,
Scrapyard Recombiner,"▸Dawn: This character gains +1✦.

▸Dissolved: Give an ally +X✦ where X is this character's ✦.",2,1,FALSE,FALSE,Warrior,
"Slogurk, the Overslime","When a character with cost 2● or less is put into your void, this character gains +1✦.

▸Dissolved: Return up to 2 characters with cost 2● or less from your void to your hand.",3,3,FALSE,FALSE,Other,
Chromatic Star,"Abandon this character: Erode 1.

▸Dissolved: Draw a card.",1,1,FALSE,FALSE,Warrior,
Changeling Outcast,"This character has all character types.

❖ – 1●: Move this character to an unoccupied character position.",1,1,FALSE,FALSE,Other,
Snuff Out,"To play this event, pay 5⍟.

Dissolve an enemy.",0,,TRUE,TRUE,Event,Removal
Raven's Crime,"The opponent discards a card.

Reclaim – Discard a card.",1,,FALSE,FALSE,Event,
Faerie Seer,"▸Materialized: Foresee 2.

❖ – 1●: Move this character to an unoccupied character position.",1,1,FALSE,FALSE,Other,
Crucible of Worlds,You may play characters with cost 2● or less from your void.,4,3,FALSE,FALSE,Other,
Bridge from Below,"Veil 3●

When an ally is dissolved, materialize a 1✦ survivor figment.

When you discard or erode this card, it gains reclaim 0●.",3,2,FALSE,FALSE,Other,
Digsite Engineer,"When you play a warrior, you may pay 2● to materialize a figment copy of 'Blade of Unity'.

(Blade of Unity: 2● warrior with ""This character has +1✦ for each allied warrior"".)",3,2,FALSE,FALSE,Other,
Scourge of Nel Toth,"Unstoppable

Reclaim – 2●, Abandon two characters.",8,7,FALSE,FALSE,Other,
Elvish Mystic,▸Dawn: Gain 1●. ,1,0,FALSE,FALSE,Spirit Animal,Elves
Memnite,(no ability),0,1,FALSE,FALSE,Warrior,
,▸Materialized: Banish an enemy with cost 2● or less.,5,3,FALSE,FALSE,Other,Removal
Loran of the Third Path,☪: Each player draws a card.,1,2,FALSE,FALSE,Other,
Blast from the Past,"Dissolve an enemy with 2✦ or less.

When you discard this card, it gains reclaim 1● until end of turn.

Reclaim 4●",2,,TRUE,FALSE,Event,Removal
Junk Diver,"Vengeful

▸Dissolved: Return another warrior from your void to your hand.",3,2,FALSE,FALSE,Warrior,
Rally the Ancestors,Materialize each character with cost X● or less in your void. Banish them at end of turn.,"1
X",,FALSE,FALSE,Event,
Fauna Shaman,"☪, Discard a character: Discover a character with cost 1● higher.",2,2,FALSE,FALSE,Spirit Animal,Discover
Oswald Fiddlebender,"☪, Abandon a warrior: Discover a warrior with cost 1● higher and materialize it.",2,2,FALSE,FALSE,Other,Discover
Portable Hole,▸Materialized: Banish an enemy with cost 2● or less until this character leaves play.,2,2,FALSE,FALSE,Warrior,Removal
,X●: This character gains +X✦ until end of turn.,2,1,FALSE,FALSE,Warrior,
Blazing Rootwalla,"When you discard this card, it gains reclaim 0● until end of turn.",1,1,FALSE,FALSE,Other,
Oust,Put an enemy on top of the opponent's deck.,1,,FALSE,FALSE,Event,
,"3●: Store 1⧗.

X⧗: Dissolve an enemy with ✦ X or less.",3,2,FALSE,FALSE,Warrior,Removal
,4●: Gain 1⍟.,2,2,FALSE,FALSE,Other,
Walking Ballista,This character has all character types.,X,X,FALSE,FALSE,Other,
Nether Traitor,"When an ally is dissolved, you may pay 1● to materialize this character from your void.",2,1,FALSE,FALSE,Survivor,
Gingerbrute,"Awakened

❖ – 1●: Move this character to an unoccupied character position.",1,1,FALSE,FALSE,Warrior,
Boreal Druid,▸Dawn: Gain 1●. ,1,1,FALSE,FALSE,Spirit Animal,Elves
Llanowar Visionary,"▸Materialized: Draw a card.

▸Dawn: Gain 1●. ",3,2,FALSE,FALSE,Spirit Animal,
,2●: An event in your void gains reclaim until end of turn.,2,2,FALSE,FALSE,Other,
"Jace, Vryn's Prodigy // Jace, Telepath Unbound","☪: Draw a card, then discard a card.",2,2,FALSE,FALSE,Other,Merfolk Looter
Deep-Cavern Bat,▸Materialized: Banish a chosen card from the opponent's hand until this character leaves play.,2,2,FALSE,FALSE,Other,
Tinker,"To play this event, abandon a warrior.

Discover a warrior with higher cost, then materialize it.",2,,FALSE,FALSE,Event,Discover
Bazaar of Baghdad,"Awakened

☪: Draw 2 cards, then discard 3 cards.",1,1,FALSE,FALSE,Other,
Phyrexian Revoker,▸Materialized: Disable the triggered abilities of an enemy while this character is in play.,2,2,FALSE,FALSE,Warrior,
Earthcraft,"Veil 2●

When you play a character, gain 1●.",2,2,FALSE,FALSE,Other,
Conflagrate,"Gain X⍟.

Reclaim – Discard X cards.",X,,FALSE,FALSE,Event,
"Lonis, Cryptozoologist","When you play a character, materialize a 1✦ ethereal figment.

Abandon X characters: Materialize a character with cost X● from the opponent's deck.",3,3,FALSE,FALSE,Other,Free Sacrifice
Increasing Vengeance,"The next time you play an event this turn, copy it twice.

Reclaim 5●.",3,,FALSE,FALSE,Event,
Disinter,"Materialize a character with cost 2● or less from your void.

Reclaim – Abandon two characters.",1,,FALSE,FALSE,Event,
Skullclamp,"2●, Abandon a 1✦ ally: Draw 2 cards.",2,1,FALSE,FALSE,Warrior,
Greater Gargadon,"Abandon a character, reveal this card from your hand: Reduce the cost of this card by 1●.",8,8,FALSE,FALSE,Other,
Aftermath Analyst,"▸Materialize: Erode 3

5●, ☪, Abandon this character: Return all characters with cost 2● or less from your void to play.",3,3,FALSE,FALSE,Other,
March of Otherworldly Light,"Offering

Banish an enemy with cost 3● or less.",2,,TRUE,TRUE,Event,
Wizard's Rockets,"Abandon this character: Gain 1●.

▸Dissolved: Draw a card.",2,1,FALSE,FALSE,Warrior,
Hangarback Walker,"▸Dawn: This character gains +1✦.

▸Dissolved: Materialize a 1✦ warrior figment for each ✦ this character has.",2,1,FALSE,FALSE,Warrior,
Treasure Cruise,"To play this card, banish 5 cards from your void.

Draw 3 cards.",2,,TRUE,FALSE,Event,
Vault Skirge,"When this character scores ⍟, the opponent loses an equivalent quantity of ⍟.",3,3,FALSE,FALSE,Warrior,
Smuggler's Copter,"▸Challenge: Draw a card, then discard a card.",2,2,FALSE,FALSE,Warrior,
Myr Retriever,▸Dissolved: Return another warrior from your void to your hand.,2,1,FALSE,FALSE,Warrior,
"Teshar, Ancestor's Apostle","When you play a warrior, you may materialize a character with cost 2● or less from your void.",4,4,FALSE,FALSE,Other,
,Allied warriors cannot be dissolved while challenging,4,3,FALSE,FALSE,Warrior,
"Losheel, Clockwork Scholar","Once per turn, when you materialize a warrior, draw a card.",2,2,FALSE,FALSE,Warrior,
Mana Drain,"Prevent a played card, then put that card into your hand.",2,,TRUE,TRUE,Event,
Fyndhorn Elves,▸Dawn: Gain 1●. ,1,1,FALSE,FALSE,Spirit Animal,Elves
Remand,"Prevent a played card, then return it to the opponent's hand. Draw a card.",2,,TRUE,TRUE,Event,
Birds of Paradise,▸Dawn: Gain 1●. ,1,1,FALSE,FALSE,Spirit Animal,Elves
Expressive Iteration,"Look at the top 4 cards of your deck. Choose one:
- Draw one of the cards.
- Draw two of the cards. They gain ephemeral.",2,,FALSE,FALSE,Event,
Porcelain Legionnaire,"To play this character, pay 2⍟.

Unstoppable",2,5,FALSE,FALSE,Other,
Goblin Engineer,"▸Materialized: Erode 3

☪, Abandon a warrior: Materialize a warrior with cost 2● or less from your void.",2,1,FALSE,FALSE,Other,
Collected Company,Materialize two random characters with cost 2● or less from your deck.,4,,FALSE,FALSE,Event,
Damn,Dissolve all characters.,4,,FALSE,FALSE,Event,
"Rofellos, Llanowar Emissary",▸Dawn: Gain 1● for each allied character with cost 2● or less.,2,2,FALSE,FALSE,Spirit Animal,
Bloodsoaked Champion,"▸Night: With an allied challenger, you may pay 2● to return this character from your void to play.",1,2,FALSE,FALSE,Warrior,
Mons's Goblin Waiters,"Abandon a character: Store 1⧗.

2⧗: Gain 1●.",1,1,FALSE,FALSE,,Free Sacrifice
,Discard a card: This character gains vengeful this turn.,1,1,FALSE,FALSE,Other,
Putrid Imp,"If there are 6 or more cards in your void, this character has +5✦.

Reclaim 1●.",1,1,FALSE,FALSE,Survivor,
Zombie Infestation,Discard a card: Materialize a 1✦ survivor figment.,2,2,FALSE,FALSE,Survivor,
Spellstutter Sprite,"▸Materialized: Prevent a played card with cost 2● or less.

❖ – 1●: Move this character to an unoccupied character position.",2,1,TRUE,TRUE,Other,
Headless Rider,"When a non-figment allied survivor is dissolved, materialize a 1✦ survivor figment.",3,3,FALSE,FALSE,Survivor,
Wall of Omens,▸Materialized: Draw a card.,2,0,FALSE,FALSE,Other,
Chatterstorm,"For each card you've played this turn, materialize a 1✦ ethereal figment.",2,,FALSE,FALSE,Event,
,"This character has all character types.

1●: Allied characters have all character types until end of turn.",1,1,FALSE,FALSE,Other,
Mirror Entity,X●: Each allied character's ✦ becomes X until end of turn.,3,1,FALSE,FALSE,Warrior,
Lingering Souls,"Materialize two 1✦ ethereal figments.

Reclaim 2● ",2,,FALSE,FALSE,Event,
Joraga Treespeaker,"2●, ☪: Store 1⧗

▸Dawn: Gain 1● for each stored ⧗.",1,1,FALSE,FALSE,Spirit Animal,Elves
,"When you materialize a figment, materialize a 1✦ ethereal figment.",3,3,FALSE,FALSE,Other,
"Chatterfang, Squirrel General","1●, Abandon X figments: Dissolve an enemy with X✦.",2,2,FALSE,FALSE,Other,
Prismatic Ending,Banish an enemy with cost X●.,X,,TRUE,TRUE,Event,
Enlightened Tutor,Discover a spirit animal.,1,,FALSE,FALSE,Event,
Blasting Station,"When you play a character, store 1⧗.

1⧗, Abandon a character: Gain 1⍟.",3,2,FALSE,FALSE,Warrior,
,Discard a card: Draw two cards with ephemeral.,3,3,FALSE,FALSE,Other,
"Birgi, God of Storytelling // Harnfel, Horn of Bounty","When you play an event, gain 1●.",3,2,FALSE,FALSE,Other,
Paradise Mantle,"When you play a character, store 1⧗.

2⧗: Gain 1●.",1,1,FALSE,FALSE,Other,
Wheel of Fortune,"Each player discards their hand, then draws 5 cards.",3,,FALSE,FALSE,Event,
Dig Through Time,"To play this event, banish X cards from your void.

Look at the top X cards of your deck. Put two of them into your hand and the rest on the bottom.",2,,TRUE,TRUE,Event,
Kor Skyfisher,"Awakened

▸Materialized: Return an ally to hand.",2,2,FALSE,FALSE,Other,
Ponder,"Look at the top 3 cards of your deck, then put them back in any order. Draw a card.",1,,FALSE,FALSE,Event,Cantrips
Signal Pest,▸Challenge: Each challenging ally gains +1✦.,1,1,FALSE,FALSE,Warrior,
Master of Etherium,"This character has +1✦ for each allied warrior.

Other allied warriors have +1✦.",3,0,FALSE,FALSE,Warrior,
Oracle of Kruphix,"▸Materialized: Return an ally to hand.

When you return another character to your hand, you may shuffle a card in a player's void into their deck.",1,1,FALSE,FALSE,Other,
Nettle Sentinel,"When you play a spirit animal, return this character to hand. It costs 0● this turn.",1,1,FALSE,FALSE,Spirit Animal,
Frantic Search,"Draw two cards, then discard two cards. Gain 3●.",3,,FALSE,FALSE,Event,
Imperial Recruiter,▸Materialized: Discover a character with cost 2● or less.,3,,FALSE,FALSE,Other,
Midnight Reaper,"When a non-figment ally is dissolved, draw a card.",3,3,FALSE,FALSE,Survivor,
Shambling Ghast,"▸Dissolved: Choose one:
- Gain 1●.
- Gain 1 maximum ●.",1,1,FALSE,FALSE,Survivor,
Black Lotus,Gain 3●.,0,,FALSE,FALSE,Event,
"Squee, Goblin Nabob","▸Dawn: If this character is in your void, return it to your hand.",4,2,FALSE,FALSE,Other,
Finale of Promise,Up to 2 events with cost X● or less in your void gain reclaim 0● until end of turn.,"2
X",,FALSE,FALSE,Event,
Aether Vial,"▸Dawn: Store 1⧗.

❖ – ☪: Materialize a character from your hand with cost X● or less, where X is the stored ⧗.",1,,FALSE,FALSE,Other,
,▸Challenge: You may discard a card to give this character +2✦.,1,1,FALSE,FALSE,Other,
"Inti, Seneschal of the Sun","When you discard a card, draw a card with ephemeral.",2,2,FALSE,FALSE,Other,
Second Sunrise,Materialize all characters with cost 2● or less in your void which dissolved this turn.,3,,FALSE,FALSE,Event,
Umbral Collar Zealot,Abandon a character: Erode 2.,2,2,FALSE,FALSE,Other,Free Sacrifice
Leaf-Crowned Visionary,"Allied spirit animals have +1✦.

When you play a spirit animal, you may pay 1● to draw a card.",2,2,FALSE,FALSE,Spirit Animal,
Shardless Agent,▸Materialized: Draw a card with cost 2● or less. It costs 0●.,3,3,FALSE,FALSE,Other,
Blood Artist,"When a character is dissolved, gain 1⍟.",3,2,FALSE,FALSE,Other,
,"2●, ☪: Draw a card, then discard a card.

When you discard a card, gain 1⍟.",3,3,FALSE,FALSE,Other,
Glint-Horn Buccaneer,▸Challenge: You may pay 2● and discard a card to draw two cards.,3,3,FALSE,FALSE,Other,
Spell Queller,▸Materialized: Return a played card with cost 3● or less to the opponent's hand. It costs 2● more.,3,3,TRUE,TRUE,,
Basking Rootwalla,"When you discard this card, materialize it.",2,2,FALSE,FALSE,Other,
,Other allied characters have 10✦.,10,4,FALSE,FALSE,Other,
Finale of Devastation,Choose a value of X. Discover a character with cost X●.,1,,FALSE,FALSE,Event,Discover
,▸Dissolved: A survivor in your void gains reclaim until end of turn.,1,1,FALSE,FALSE,Other,
Relentless Dead,▸Dissolved: You may pay 1● to return this character to hand.,2,2,FALSE,FALSE,Survivor,
Carrion Feeder,Abandon another character: This character gains +1✦.,1,1,FALSE,FALSE,Survivor,
Mana Crypt,▸Dawn: Gain 2●. The opponent gains 3⍟.,0,0,FALSE,FALSE,Other,
Ravenous Squirrel,"When you abandon a character, this character gains +1✦.

3●, Abandon a character: Draw a card.",1,1,FALSE,FALSE,Other,
Dark Ritual,Gain 3●.,1,,FALSE,FALSE,Event,
Marketback Walker,"4●: This character gains +1✦.

▸Dissolved: Draw a card for each ✦ this character has.",4,2,FALSE,FALSE,Warrior,
Hidden Stockpile,"▸Night: If an ally left play this turn, materialize a 1✦ ethereal figment.

1●, Abandon another character: Foresee 1.",2,2,FALSE,FALSE,Other,
Solitude,"Offering

▸Materialized: Banish an enemy.",5,4,TRUE,FALSE,Other,Removal
Stitcher's Supplier,"▸Materialized, Dissolved: Erode 4.",1,1,FALSE,FALSE,Survivor,
Stonecoil Serpent,Unstoppable,X,X,FALSE,FALSE,Warrior,
Ophiomancer,"▸Dawn: Give an allied wraith +1✦. With no allied wraiths, materialize a 0✦ wraith figment with vengeful instead.",3,2,FALSE,FALSE,Other,
Spawning Pit,"Abandon a character: Store 1⧗.

2●, 2⧗: Materialize two 1✦ warrior figments",3,3,FALSE,FALSE,Warrior,
Soulherder,"Awakened

☪: Rematerialize an ally. This character gains +1✦.",3,2,FALSE,FALSE,Other,
Bloodghast,"When you materialize a survivor, return this card from your void to play.",3,1,FALSE,FALSE,Other,
Counterspell,Prevent a played card.,2,,TRUE,TRUE,Event,
Rotting Rats,"▸Materialized: Each player discards a card.

Reclaim 1●.",3,2,FALSE,FALSE,Survivor,
Diamond Lion,"☪, Discard your hand, Abandon this character: Gain 3●.",2,2,FALSE,FALSE,Warrior,
Tolarian Academy,"Awakened

☪: Gain 1● for each allied warrior.",1,0,FALSE,FALSE,Other,
Ineffable Blessing,"Veil 2●

When you materialize a character with cost X●, draw a card.","2
X",2,FALSE,FALSE,Other,
Altar of Dementia,"Abandon a character: Chosen player erodes X, where X is that character's cost.",3,3,FALSE,FALSE,Warrior,
Scrap Trawler,"When an allied warrior is dissolved, return a warrior with lesser cost from your void to hand.",3,3,FALSE,FALSE,Warrior,
Sneaky Snacker,"When you draw your third card in a turn, materialize this character from your void.",4,5,FALSE,FALSE,Other,
Thousand-Faced Shadow,"▸Materialized: Return another ally to hand. Move this character to that ally’s position.

When you return an ally to hand, reduce its cost by 2●.",4,4,TRUE,FALSE,Outsider,
Scrapheap Scrounger,"2●, Banish a card from your void: Materialize this character from your void.",3,3,FALSE,FALSE,Warrior,
Yawgmoth's Will,"Until end of turn, cards in your void gain reclaim.",3,,FALSE,FALSE,Event,
Bitter Triumph,"To play this card, discard a card or pay 5⍟.

Dissolve an enemy.",1,,TRUE,TRUE,Event,Removal
Workshop Assistant,▸Dissolved: Return another warrior with cost 4● or less from your void to your hand.,3,3,FALSE,FALSE,Warrior,
Past in Flames,"Until end of turn, events in your void gain reclaim.

When you discard or erode this card, it gains reclaim 3●.",5,,FALSE,FALSE,Event,
Master of Death,"▸Dissolved: Draw a card.

▸Dawn: If this card is in your void, you may pay 1● to return it to your hand.",3,3,FALSE,FALSE,Survivor,
,"This character costs 1● less for each allied warrior.

Support – Supported warriors have +3✦.",5,2,FALSE,FALSE,Warrior,
Thought Monitor,▸Materialized: Draw 2 cards.,5,5,FALSE,FALSE,Warrior,
